Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Train Time (s),Inference Time (s)
KNN,0.8898183819482663,0.9100650593187907,0.7563613231552163,0.8261247177349313,0.9204428256138715,0.04869794845581055,3.2411482334136963
SVM,0.844799119427628,0.8802631578947369,0.6383587786259542,0.7400442477876106,0.8843849593093751,0.5226843357086182,0.0010080337524414062
Random Forest,0.9347275729223996,0.9553730810424849,0.851145038167939,0.9002523128679563,0.9742734214688714,0.6092319488525391,0.12293577194213867
XGBoost,0.9410016510731976,0.9653818700927909,0.8603689567430025,0.9098553649512278,0.975400813684008,0.9591484069824219,0.01752495765686035
LightGBM,0.9369290038525041,0.9686474662777981,0.8451017811704835,0.9026668931544081,0.9733166264278981,0.4138956069946289,0.021031618118286133
